fotograma,tipo_oggetto,confianza,identificador_tracking,x1,y1,x2,y2,matrícula_en_su_caso,confianza_matricula,mx1,my1,mx2,my2,texto_matricula
2070,person,0.68,person_273,822,267,879,421,no,0,0,0,0,0,
2071,car,0.79,car_268,1065,291,1185,399,no,0,0,0,0,0,
2071,car,0.57,car_274,1436,315,1512,379,no,0,0,0,0,0,
2071,person,0.63,person_273,824,259,888,417,no,0,0,0,0,0,
2072,car,0.78,car_268,1064,291,1183,400,no,0,0,0,0,0,
2072,car,0.57,car_274,1436,315,1512,379,no,0,0,0,0,0,
2072,person,0.66,person_273,833,262,898,417,no,0,0,0,0,0,
2073,car,0.78,car_268,1059,291,1183,405,no,0,0,0,0,0,
2073,car,0.57,car_274,1436,315,1512,379,no,0,0,0,0,0,
2073,person,0.62,person_273,838,261,904,417,no,0,0,0,0,0,
2074,car,0.80,car_268,1054,290,1183,408,no,0,0,0,0,0,
2074,car,0.58,car_274,1436,315,1512,379,no,0,0,0,0,0,
2074,person,0.47,person_273,845,264,908,413,no,0,0,0,0,0,
2075,car,0.81,car_268,1051,289,1181,409,no,0,0,0,0,0,
2075,car,0.58,car_274,1436,315,1512,379,no,0,0,0,0,0,
2075,person,0.56,person_273,855,272,913,410,no,0,0,0,0,0,
2076,car,0.80,car_268,1049,289,1180,409,no,0,0,0,0,0,
2076,car,0.59,car_274,1436,315,1512,379,no,0,0,0,0,0,
2076,person,0.55,person_273,858,276,917,409,no,0,0,0,0,0,
2077,car,0.77,car_268,1049,287,1175,408,no,0,0,0,0,0,
2077,car,0.58,car_274,1436,315,1512,379,no,0,0,0,0,0,
2078,car,0.78,car_268,1049,287,1172,407,no,0,0,0,0,0,
2078,car,0.58,car_274,1436,315,1512,379,no,0,0,0,0,0,
2079,car,0.78,car_268,1048,287,1170,407,no,0,0,0,0,0,
2079,car,0.59,car_274,1436,316,1512,378,no,0,0,0,0,0,
2080,car,0.76,car_268,1043,287,1169,408,no,0,0,0,0,0,
2080,car,0.58,car_274,1436,316,1512,378,no,0,0,0,0,0,
2081,car,0.74,car_268,1038,287,1172,411,no,0,0,0,0,0,
2081,car,0.58,car_274,1436,316,1512,378,no,0,0,0,0,0,
2082,car,0.74,car_268,1033,286,1169,410,no,0,0,0,0,0,
2082,car,0.58,car_274,1436,316,1512,378,no,0,0,0,0,0,
2082,person,0.50,person_273,904,287,945,401,no,0,0,0,0,0,
2083,car,0.75,car_268,1028,285,1167,412,no,0,0,0,0,0,
2083,car,0.58,car_274,1436,316,1512,378,no,0,0,0,0,0,
2083,person,0.48,person_273,908,286,951,401,no,0,0,0,0,0,
2084,car,0.74,car_268,1024,283,1166,412,no,0,0,0,0,0,
2084,car,0.58,car_274,1436,316,1512,378,no,0,0,0,0,0,
2084,person,0.57,person_273,913,285,957,400,no,0,0,0,0,0,
2085,car,0.75,car_268,1021,283,1165,412,no,0,0,0,0,0,
2085,car,0.58,car_274,1436,316,1512,378,no,0,0,0,0,0,
