fotograma,tipo_oggetto,confianza,identificador_tracking,x1,y1,x2,y2,matrícula_en_su_caso,confianza_matricula,mx1,my1,mx2,my2,texto_matricula
281,person,0.48,person_34,658,195,685,286,no,0,0,0,0,0,
282,car,0.87,car_1,429,211,655,422,si,1.00,503,314,587,339,6692GYV
282,car,0.67,car_14,370,200,431,268,no,0,0,0,0,0,
282,car,0.80,car_24,209,228,364,323,si,0.50,238,266,273,282,638DVC
282,person,0.55,person_34,658,197,685,287,no,0,0,0,0,0,
283,car,0.87,car_1,427,210,655,422,si,1.00,503,314,597,340,6692GYV
283,car,0.69,car_14,371,201,432,268,no,0,0,0,0,0,
283,car,0.82,car_24,212,228,365,321,si,0.50,242,265,275,281,638DVC
283,person,0.58,person_34,657,196,685,289,no,0,0,0,0,0,
284,car,0.88,car_1,426,209,655,422,si,1.00,503,314,601,339,6692GYV
284,car,0.67,car_14,373,199,434,267,no,0,0,0,0,0,
284,car,0.82,car_24,217,228,366,319,si,0.50,244,265,279,280,638DVC
284,person,0.56,person_34,657,195,685,290,no,0,0,0,0,0,
285,car,0.88,car_1,424,210,655,422,si,0.75,503,314,608,339,6692GYV
285,car,0.66,car_14,374,199,433,267,no,0,0,0,0,0,
285,car,0.82,car_24,220,229,367,317,si,0.50,248,264,283,279,638DVC
285,person,0.52,person_34,656,195,684,291,no,0,0,0,0,0,
286,car,0.87,car_1,424,209,655,422,si,0.60,503,314,615,340,6692GYV
286,car,0.65,car_14,375,199,432,266,no,0,0,0,0,0,
286,car,0.82,car_24,224,228,369,317,si,0.50,250,263,286,278,638DVC
286,person,0.41,person_34,656,195,684,286,no,0,0,0,0,0,
287,car,0.87,car_1,424,209,655,422,si,0.50,503,314,618,339,6692GYV
287,car,0.67,car_14,377,199,435,266,no,0,0,0,0,0,
287,car,0.82,car_24,228,226,371,316,si,0.50,253,262,289,276,638DVC
287,person,0.48,person_34,656,196,683,283,no,0,0,0,0,0,
288,car,0.87,car_1,423,208,655,422,si,0.43,503,313,617,339,6692GYV
288,car,0.66,car_14,379,200,436,265,no,0,0,0,0,0,
288,car,0.82,car_24,231,224,373,315,si,0.50,258,261,292,276,638DVC
288,person,0.47,person_34,656,196,683,284,no,0,0,0,0,0,
289,car,0.86,car_1,423,207,655,422,si,0.50,503,314,615,339,669LGYV
289,car,0.66,car_14,380,200,437,265,no,0,0,0,0,0,
289,car,0.82,car_24,233,224,375,315,si,0.50,262,260,295,275,638DVC
289,person,0.46,person_34,655,195,684,287,no,0,0,0,0,0,
290,car,0.85,car_1,421,206,655,422,si,0.44,503,313,609,339,669LGYV
290,car,0.69,car_14,381,200,438,265,no,0,0,0,0,0,
290,car,0.85,car_24,237,222,376,313,si,0.50,265,260,297,274,638DVC
290,person,0.43,person_34,655,195,684,290,no,0,0,0,0,0,
291,car,0.83,car_1,424,206,654,422,si,0.40,504,314,606,339,669LGYV
